Datum	Tijd	Team thuis	Team uit	Locatie	scheids	2e scheids	teller
"Thursday, November 10, 2022"	20:30	AETOS DS 7	Toesj DS 3	"Valkenhuizen, Arnhem"	D5		D5
"Friday, November 11, 2022"	20:00	AETOS DS 5	Set Up '69 DS 2	"Sporthal Elderveld, Arnhem"	H1		H1
"Friday, November 11, 2022"	20:00	AETOS MA 1	Scylla MA 1	"Sporthal Elderveld, Arnhem"	H1		H1
"Saturday, November 12, 2022"	9:00	AETOS MC 4	Pauwervoll MC 2	"Sporthal Elderveld, Arnhem"	JA1		MB5
"Saturday, November 12, 2022"	9:00	AETOS JC 4	Pauwervoll JC 1	"Sporthal Elderveld, Arnhem"	JA1		MB5
"Saturday, November 12, 2022"	11:00	AETOS JA 1	Woudenberg JA 1	"Sporthal Elderveld, Arnhem"	MB1		MB1
"Saturday, November 12, 2022"	11:00	AETOS JA 2	Scylla JA 1	"Sporthal Elderveld, Arnhem"	D2		JC4
"Saturday, November 12, 2022"	13:00	AETOS MC 1	Gemini MC 1	"Sporthal Elderveld, Arnhem"	MA1		MA1
"Saturday, November 12, 2022"	13:00	AETOS MB 1	Dros-Alterno MB 1	"Sporthal Elderveld, Arnhem"	D1		MA1
"Saturday, November 12, 2022"	13:00	AETOS DS 2	WaHo DS 3	"Sporthal Elderveld, Arnhem"	D1		MA1
"Saturday, November 12, 2022"	15:15	AETOS MB 4	TweeVV MB 2	"Sporthal Elderveld, Arnhem"	H7		JB1
"Saturday, November 12, 2022"	15:15	AETOS MB 2	Woudenberg MB 1	"Sporthal Elderveld, Arnhem"	H7		JB1
"Saturday, November 12, 2022"	15:15	AETOS DS 1	Heyendaal DS 3	"Sporthal Elderveld, Arnhem"	Nevobo		MC1
"Saturday, November 12, 2022"	17:30	AETOS JB 1	Engeltherm WSV JB 1	"Sporthal Elderveld, Arnhem"	D7		MB4
"Saturday, November 12, 2022"	17:30	AETOS HS 7	WaHo HS 4	"Sporthal Elderveld, Arnhem"	D7		MB4
"Saturday, November 12, 2022"	17:30	AETOS HS 1	DIOS HS 1	"Sporthal Elderveld, Arnhem"	Nevobo		D1
"Thursday, November 17, 2022"	20:30	AETOS D9	Setash D3	"Valkenhuizen, Arnhem"	H7		H7
"Thursday, November 17, 2022"	20:30	AETOS D1	Voorwaarts D1	"Valkenhuizen, Arnhem"	Nevobo/Silvano		D1
"Friday, November 18, 2022"	20:00	AETOS HS 2	TweeVV HS 2	"Sporthal Elderveld, Arnhem"	Nevobo	H1	H4
"Friday, November 18, 2022"	20:00	AETOS DS 6	Invicta DS 3	"Sporthal Elderveld, Arnhem"	H4		D10
"Friday, November 18, 2022"	20:00	AETOS DS 4	SSS DS 4	"Sporthal Elderveld, Arnhem"	H4		D10
"Saturday, November 19, 2022"	9:00	AETOS JC 4	Blok EVC JC 1	"Sporthal Elderveld, Arnhem"	D3		MC2
"Saturday, November 19, 2022"	9:00	AETOS MC 6	Xanthos MC 1	"Sporthal Elderveld, Arnhem"	D3		MC2
"Saturday, November 19, 2022"	9:00	AETOS MC 3	Set Up '69 MC 1	"Sporthal Elderveld, Arnhem"	D3		MC2
"Saturday, November 19, 2022"	11:00	AETOS DS 3	Invicta DS 1	"Sporthal Elderveld, Arnhem"	H6		JC4
"Saturday, November 19, 2022"	11:00	AETOS MC 5	Excelsior MC 1	"Sporthal Elderveld, Arnhem"	H6		JC4
"Saturday, November 19, 2022"	11:00	AETOS MC 2	Renswouw MC 1	"Sporthal Elderveld, Arnhem"	H6		JC4
"Saturday, November 19, 2022"	13:00	AETOS HS 3	Pegasus HS 4	"Sporthal Elderveld, Arnhem"	Nevobo	Edu	MC5
"Saturday, November 19, 2022"	13:00	AETOS HS 6	Invicta HS 3	"Sporthal Elderveld, Arnhem"	H5		MC5
